Processing 2x2 minors...
Matrix size: 9x9
Total minors: 1296
Rows: 1 2 | Cols: 0 8 | Det: 2401
Rows: 1 2 | Cols: 1 2 | Det: 5260
Rows: 1 2 | Cols: 1 3 | Det: -4642
Rows: 1 2 | Cols: 1 4 | Det: 71
Rows: 1 2 | Cols: 1 5 | Det: -2289
Rows: 1 2 | Cols: 1 6 | Det: 970
Rows: 1 2 | Cols: 1 7 | Det: 4111
Rows: 1 2 | Cols: 1 8 | Det: 4329
Rows: 1 2 | Cols: 2 3 | Det: -6620
Rows: 1 2 | Cols: 2 4 | Det: -1850
Rows: 1 2 | Cols: 2 5 | Det: -6070
Rows: 1 2 | Cols: 2 6 | Det: -160
Rows: 1 2 | Cols: 2 7 | Det: -510
Rows: 1 2 | Cols: 2 8 | Det: 1070
Rows: 1 2 | Cols: 3 4 | Det: 1722
Rows: 1 2 | Cols: 3 5 | Det: 2476
Rows: 1 2 | Cols: 3 6 | Det: 1362
Rows: 1 2 | Cols: 3 7 | Det: 5624
Rows: 1 2 | Cols: 3 8 | Det: 4504
Rows: 1 2 | Cols: 4 5 | Det: -887
Rows: 1 2 | Cols: 4 6 | Det: 339
Rows: 1 2 | Cols: 4 7 | Det: 1439
Rows: 1 2 | Cols: 4 8 | Det: 1537
Rows: 1 2 | Cols: 5 6 | Det: 1189
Rows: 1 2 | Cols: 5 7 | Det: 4966
Rows: 1 2 | Cols: 5 8 | Det: 4530
Rows: 1 2 | Cols: 6 7 | Det: 31
Rows: 1 2 | Cols: 6 8 | Det: 329
Rows: 1 2 | Cols: 7 8 | Det: 1256
Rows: 1 3 | Cols: 0 1 | Det: -5401
Rows: 1 3 | Cols: 0 2 | Det: -1754
Rows: 1 3 | Cols: 0 3 | Det: -3134
Rows: 1 3 | Cols: 0 4 | Det: 1386
Rows: 1 3 | Cols: 0 5 | Det: -3828
Rows: 1 3 | Cols: 0 6 | Det: 265
Rows: 1 3 | Cols: 0 7 | Det: 249
Rows: 1 3 | Cols: 0 8 | Det: 1628
Rows: 1 3 | Cols: 1 2 | Det: -588
Rows: 1 3 | Cols: 1 3 | Det: 4258
Rows: 1 3 | Cols: 1 4 | Det: 5841
Rows: 1 3 | Cols: 1 5 | Det: 3157
Rows: 1 3 | Cols: 1 6 | Det: 1222
Rows: 1 3 | Cols: 1 7 | Det: 3329
Rows: 1 3 | Cols: 1 8 | Det: 3003
Rows: 1 3 | Cols: 2 3 | Det: 1724
Rows: 1 3 | Cols: 2 4 | Det: 1746
Rows: 1 3 | Cols: 2 5 | Det: 1442
Rows: 1 3 | Cols: 2 6 | Det: 368
Rows: 1 3 | Cols: 2 7 | Det: 1054
Rows: 1 3 | Cols: 2 8 | Det: 798
Rows: 1 3 | Cols: 3 4 | Det: 4482
Rows: 1 3 | Cols: 3 5 | Det: -1186
Rows: 1 3 | Cols: 3 6 | Det: 918
Rows: 1 3 | Cols: 3 7 | Det: 2128
Rows: 1 3 | Cols: 3 8 | Det: 3026
Rows: 1 3 | Cols: 4 5 | Det: -4950
Rows: 1 3 | Cols: 4 6 | Det: -27
Rows: 1 3 | Cols: 4 7 | Det: -585
Rows: 1 3 | Cols: 4 8 | Det: 990
